canonical_cluster,overridden,distinct_raw_forms,total_occurrences,source_count,sources,raw_forms
KAREN SCHOOL,no,1,4,1,ACUDEN_2024,Karen School Inc.
KIDS CASTLE,no,2,4,1,ACUDEN_2024,"Kids Castle Inc.|Kids Castle, Inc"
LA IGLESIA CATOLICA APOSTOLICA Y ROMANA EN PUERTO RICO DIOCESIS DE CAGUAS,no,1,4,1,ACUDEN_2024,La Iglesia Católica Apostólica y Romana en Puerto Rico Diocesis de Caguas
LITTLE PARADISE DAY CARE AND LEARNING CENTER,no,2,4,1,ACUDEN_2024,Little Paradise Day Care and Learning Center|Little Paradise Day Care and Learning Center LLC
LUJANI GENERAL CONTRACTOR,no,1,4,1,ACT_2020,"LUJANI GENERAL CONTRACTOR, INC."
M2A GROUP,no,1,4,1,ACT_2020,"M2A GROUP, PSC"
MANOS AND MANITAS CENTRO DE CUIDO INFANTIL,no,1,4,1,ACUDEN_2024,Manos & Manitas Centro de Cuido Infantil Inc.
MD ENGINEERS,no,1,4,1,ACT_2020,"MD Engineers, PSC"
MPJV LEARNING CENTER,no,2,4,1,ACUDEN_2024,"M.P.J.V. Learning Center, Inc|M.P.J.V. Learning Center, Inc."
MUNDO MAGICO,no,1,4,1,ACUDEN_2024,Mundo Mágico Inc
MUNICIPIO AGUAS BUENAS,no,3,4,2,ACT_2020|ACUDEN_2024,MUNICIPIO DE AGUAS BUENAS|Municipality of Aguas Buenas|Municipio de Aguas Buenas
MUNICIPIO ARROYO,no,2,4,2,ACT_2020|ACUDEN_2024,MUNICIPIO DE ARROYO|Municipio de Arroyo
MUNICIPIO COMERIO,no,2,4,2,ACT_2020|ACUDEN_2024,Municipality of Comerío|Municipio de Comerio
MUNICIPIO JUNCOS,no,3,4,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF JUNCOS|MUNICIPIO DE JUNCOS|Municipio de Juncos
MUNICIPIO MOCA,no,2,4,1,ACT_2020,MUNICIPALITY OF MOCA|MUNICIPIO DE MOCA
MUNICIPIO MOROVIS,no,2,4,2,ACT_2020|ACUDEN_2024,Municipality of Morovis|Municipio de Morovis
MUNICIPIO RIO GRANDE,no,3,4,2,ACT_2020|ACUDEN_2024,MUNICIPALITY OF RÍO GRANDE|MUNICIPIO DE RIO GRANDE|Municipio de Rio Grande
MUNICIPIO TOA BAJA,no,2,4,1,ACT_2020,MUNICIPIO DE TOA BAJA|Municipality of Toa Baja
PEEK A BOO DAY CARE,no,2,4,1,ACUDEN_2024,"Peek A Boo Day Care Inc|Peek a Boo Day Care, Inc"
PEQUENAS MANITAS DAY CARE AND PRE SCHOOL,no,1,4,1,ACUDEN_2024,Pequeñas Manitas Day Care and Pre-School Inc
PISADAS DE ANGELITOS,no,2,4,1,ACUDEN_2024,Pisadas de Angelitos Inc|Pisadas de Angelitos Inc.
RAINBOW KIDS,no,1,4,1,ACUDEN_2024,Rainbow Kids Corporation
RL PEREZ,no,1,4,1,ACUDEN_2024,RL Pérez Inc
SEMILLITAS DE AMOR,no,2,4,1,ACUDEN_2024,"Semillitas de Amor Corp|Semillitas de Amor, Corp"
STEP BY STEP EARLY CHILDHOOD PROGRAM ECP,no,2,4,1,ACUDEN_2024,"Step by Step Early Childhood Program E.C.P.|Step by Step Early Childhood Program E.C.P., Corp"
THE ENIAC,no,1,4,1,ACT_2020,The Eniac Corporation
UNIPRO ARCHITECTS ENGINEERS,no,1,4,1,ACT_2020,"UNIPRO ARCHITECTS- ENGINEERS, LLP"
WORLD CHILDREN SCHOOL,no,3,4,1,ACUDEN_2024,"World Children School|World Children School Inc|World Children School, Inc."
ASOCIACION CRISTIANA DE JOVENES DE PONCE YOUNG MEN S CHRISTIAN ASSOCIATION OF PONCE,no,1,3,1,ACUDEN_2024,Asociación Cristiana de Jóvenes de Ponce (Young Men's Christian Association of Ponce) Inc.
ASTURIAS LITTLE SCHOOL AND NURSERY,no,1,3,1,ACUDEN_2024,"Asturias Little School & Nursery, Inc"
AUTOPISTAS DE PUERTO RICO Y COMPANIA,no,1,3,1,ACT_2020,"AUTOPISTAS DE PUERTO RICO Y COMPAÑIA, S.E."
BORINQUEN BILINGUAL SCHOOL AND SPORT DEVELOPMENT CENTER,no,2,3,1,ACUDEN_2024,"Borinquen Bilingual School & Sport Development Center Inc|Borínquen Bilingual School & Sport Development Center, Inc"
BRIGHT START BILINGUAL SCHOOL,no,1,3,1,ACUDEN_2024,Bright Start Bilingual School LLC
CARMEN RIVERA,no,1,3,1,ACUDEN_2024,Carmen Rivera
CDI EMMANUEL,yes,2,3,1,ACUDEN_2024,"CDI Emanuel, Inc.|CDI Emmanuel Inc"
CENTRO CUIDADO DIURNO ARRULLO MATERNAL,no,1,3,1,ACUDEN_2024,"Centro Cuidado Diurno Arrullo Maternal, Inc"
CENTRO DE APRENDIZAJE AMOR Y PINTURA,no,1,3,1,ACUDEN_2024,Centro de Aprendizaje Amor y Pintura Inc
CENTRO DE AYUDA Y TERAPIA AL NINO COMO IMPEDIMENTO AYANI,no,1,3,1,ACUDEN_2024,Centro de Ayuda y Terapia al Niño como Impedimento Inc. (AYANI)
CENTRO DE CUIDO DIURNO Y EDUCATIVO PEQUENINES,no,1,3,1,ACUDEN_2024,Centro de Cuido Diurno y Educativo Pequeñines LLC
CENTRO DE CUIDO MD,no,2,3,1,ACUDEN_2024,"Centro de Cuido MD LLC|Centro de Cuido MD, LLC"
CENTRO DE SONRISITAS DE AMOR,no,1,3,1,ACUDEN_2024,Centro de Sonrisitas de Amor Inc.
CENTRO ESPERANZA INCORPORADO,no,1,3,1,ACUDEN_2024,Centro Esperanza Incorporado
CENTRO NINOS EN ACCION,no,1,3,1,ACUDEN_2024,Centro Niños en Acción
